pdb	resolution
6rsq	2.37
5omj	2.01
7o5p	1.8
2jaz	2.03
6kh5	2.29
7o6j	1.4
3f3e	1.8
4at3	1.77
6ry5	1.3
3tyy	2.4
8zkd	2.05
1ya0	2.55
7bdj	2.59
3m6k	2.6
5c6g	2.6
7pfi	1.7
3lcx	1.98
1zvb	1.7
3mtu	2.1
1mft	2.5
6hwt	1.7
8wds	3.4
6g68	1.95
5j0q	2.0
6dg6	2.0
8a6v	1.9
4lqs	3.3
3gqi	2.5
7kxp	1.83
3ne2	3.0
4i0y	2.8
6kzg	2.0
2y3d	2.3
7bzc	2.3
3w3z	2.7
4h10	2.4
2q7c	2.0
4jek	2.4
5eqw	1.68
4c8s	3.0
4q5b	1.8
6qj0	2.0
4o7g	2.21
7tsq	2.11
4bx9	2.6
7crz	2.3
4av3	2.6
3vf8	2.08
8ig0	2.6
6nvg	1.99
3lk9	2.5
1m0p	2.6
7c4s	3.2
4a4c	2.7
7e9s	2.7
7kt6	1.87
1xjl	2.59
3tso	1.8
1l0w	2.01
7nm1	1.4
5meg	2.0
5ww7	2.05
7wwe	2.2
3t9j	2.2
7e0e	2.1
7z5k	2.28
4h0m	2.2
2yv9	1.6
3w5k	2.6
5umz	1.9
2fgn	2.04
8pow	1.61
7nmh	1.4
3hst	2.25
8tta	3.46
2ntx	2.2
5f8u	3.35
6gvw	3.75
6ga9	1.8
4am2	1.8
2fjc	2.5
1iw9	2.5
4cyd	1.82
8a6h	1.6
2xqr	2.58
7lgs	3.1
8fbj	3.25
2y02	2.6
3vty	2.0
6pyy	2.4
3ghq	2.7
6zft	3.3
2gm8	2.5
2qko	2.35
3wgi	3.25
3bvo	3.0
3iqe	1.8
6qa5	2.66
7lv1	1.91
3nvi	2.71
6bwa	2.2
6lk9	2.1
1lwu	2.8
5z8u	1.9
7c61	3.0
8drl	1.65
4mu6	2.08
6zo5	2.5
6l5j	2.77
4j24	2.1
7b7z	1.7
2bap	3.3
4kvu	1.8
5b3d	2.3
2j9q	2.65
3m7l	1.5
5wuc	1.6
4dci	2.82
3tpm	2.1
6vxq	1.4
5azd	2.8
1nbm	3.0
4zlw	2.0
2cn7	1.75
7znh	2.3
8jgo	1.9
3f35	1.92
8ouu	1.77
5wev	1.85
3iwz	2.3
5zxd	2.29
5hkz	1.8
6hu8	1.89
1o9e	2.6
8tjl	2.7
6m7x	2.1
6jky	2.45
5xzx	3.0
6sxf	2.84
7o93	1.17
3npr	2.0
4lzd	1.85
3apz	2.6
5ydc	1.91
4j10	1.44
1qja	2.0
2ebo	1.9
4tf4	2.0
4x3j	2.5
1fbw	2.0
7b80	1.87
1rop	1.7
2qlu	2.0
5tuu	2.25
3i63	2.09
6nlg	1.5
5yu9	1.95
4c5s	1.85
3zhe	3.0
5vpd	2.79
3ejr	1.27
5ayw	3.56
5mhc	1.2
4wwf	1.1
2o8d	3.0
4dkd	3.0
4xzr	2.25
1u6j	2.4
6z02	2.1
4mjy	1.4
7du9	2.31
2htm	2.3
6ctk	2.15
6g6j	2.25
3s17	3.2
7kee	3.45
5d8c	2.25
4ufb	1.8
6iuh	1.8
5u93	2.0
6g94	2.5
3fxe	2.2
8alw	1.5
3d87	2.9
4am5	1.58
5hud	2.15
3c3t	2.2
5dxh	3.0
7w5k	2.22
5m72	1.6
3dyh	1.94
2npm	2.52
3as5	2.0
1emr	3.5
5i9u	1.89
4hwf	2.0
7lu4	2.5
6b85	3.89
4kdp	3.6
1pix	2.2
5k7b	2.3
5m5e	2.3
2qmr	3.0
4gjw	3.0
4ayt	2.85
4uva	2.9
1key	2.65
6hjy	2.78
3fo3	1.4
3m7d	1.82
6vf8	1.7
7yfv	2.2
4kcf	2.1
1a38	3.35
5ual	3.89
3kx9	2.1
4lnz	3.11
2i21	1.84
1a92	1.8
1eum	2.05
