pdb	alpha_helical(%)	beta_strand(%)	coil(%)
6rsq	72.31	16.07	11.62
5omj	73.22	15.48	11.3
7o5p	72.82	14.78	12.4
2jaz	63.74	17.46	18.81
6kh5	64.16	17.42	18.42
7o6j	65.16	16.88	17.96
3f3e	66.76	16.44	16.8
4at3	63.23	18.54	18.23
6ry5	61.34	19.62	19.04
3tyy	62.56	19.1	18.33
8zkd	60.16	20.92	18.91
1ya0	60.78	20.56	18.67
7bdj	53.03	25.46	21.51
3m6k	53.02	25.32	21.66
5c6g	54.24	24.89	20.87
7pfi	54.47	24.72	20.81
3lcx	53.21	25.27	21.52
1zvb	53.66	25.02	21.32
3mtu	54.86	24.37	20.77
1mft	55.19	24.19	20.63
6hwt	54.48	24.5	21.02
8wds	53.32	25.26	21.42
6g68	55.13	24.31	20.56
5j0q	54.85	24.4	20.75
6dg6	55.93	23.73	20.34
8a6v	56.58	23.47	19.96
4lqs	55.75	23.89	20.36
3gqi	54.77	24.27	20.96
7kxp	54.47	24.48	21.05
3ne2	55.93	23.79	20.28
4i0y	55.11	24.07	20.81
6kzg	55.58	23.78	20.63
2y3d	55.83	23.63	20.54
7bzc	56.21	23.4	20.38
3w3z	56.7	23.15	20.15
4h10	56.82	23.09	20.09
2q7c	57.07	22.95	19.98
4jek	56.47	23.48	20.05
5eqw	56.54	23.36	20.1
4c8s	54.93	24.02	21.04
4q5b	54.23	24.63	21.14
6qj0	54.04	24.64	21.33
4o7g	54.37	24.45	21.19
7tsq	54.0	24.57	21.43
4bx9	53.68	24.68	21.64
7crz	54.04	24.52	21.44
4av3	55.16	23.88	20.96
3vf8	54.98	23.95	21.07
8ig0	54.62	24.05	21.33
6nvg	54.45	24.17	21.39
3lk9	54.33	24.22	21.46
1m0p	54.13	24.33	21.54
7c4s	53.08	24.95	21.98
4a4c	52.87	25.03	22.09
7e9s	52.81	25.06	22.13
7kt6	52.72	25.05	22.23
1xjl	52.83	24.97	22.2
4rg7	53.13	24.82	22.05
3tso	53.02	24.88	22.1
1l0w	52.28	25.26	22.46
7nm1	52.39	25.18	22.43
5meg	52.25	25.2	22.55
5ww7	52.47	25.05	22.48
7wwe	52.47	25.06	22.47
